ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,Year
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,290,1978
Public Identity,,Green Eyes,Red Hair,Female Characters,Living Characters,284,1948
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,284,1964
Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,280,1981
Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,277,1976
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,276,1984
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,273,1979
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,272,1965
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,271,1975
Secret Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,Living Characters,270,1962
Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,267,1981
Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,265,2004
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,264,1973
Secret Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Deceased Characters,263,1975
Secret Identity,Good Characters,Black Eyes,Bald,Male Characters,Living Characters,261,1984
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,260,1965
Public Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Deceased Characters,260,1971
Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,260,1979
Secret Identity,Good Characters,,Bald,Male Characters,Living Characters,260,1983
Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,259,1972
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,257,1965
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,257,1972
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,255,1965
Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Living Characters,252,1980
Public Identity,Neutral Characters,Red Eyes,Bald,Male Characters,Living Characters,250,1963
Secret Identity,Good Characters,Red Eyes,Bald,Male Characters,Living Characters,249,1971
Public Identity,Bad Characters,Hazel Eyes,Bald,Male Characters,Living Characters,248,1963
Public Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,247,1964
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,245,1967
Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,245,1983
Secret Identity,Good Characters,,,Female Characters,Living Characters,240,1983
Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,240,2000
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,239,1966
Secret Identity,Good Characters,White Eyes,Bald,Male Characters,Living Characters,238,2003
Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,237,1960
Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,236,1949
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,236,1976
Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters,236,1985
Public Identity,Good Characters,Green Eyes,Orange Hair,Male Characters,Living Characters,234,1965
Secret Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,Living Characters,231,1971
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,231,1987
Secret Identity,Neutral Characters,,Bald,,Deceased Characters,229,1976
Public Identity,Good Characters,Black Eyeballs,Pink Hair,Female Characters,Living Characters,229,2004
Secret Identity,Good Characters,Brown Eyes,Auburn Hair,Male Characters,Living Characters,227,1969
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,226,1982
Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters,225,1964
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,225,1983
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,222,1982
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,217,1983
Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,212,1984
Secret Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,210,1964
Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,209,1979
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,207,1984
Secret Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,Living Characters,204,1965
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,203,1979
Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,202,1964
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,200,1979
Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,200,2008
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,198,1988
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,197,1984
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,195,1962
Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,194,1964
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,194,1973
Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,193,1973
Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,190,1964
Public Identity,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,189,1962
Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,189,2006
Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,188,1964
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,187,1994
Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,184,1973
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,184,2003
Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,181,1964
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,181,1984
Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,180,1964
Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,179,1966
Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,179,2003
Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,178,1972
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,177,2001
Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,176,1967
Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Living Characters,175,1969
Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,Living Characters,175,1974
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,175,2001
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,174,2001
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,172,1980
Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,170,1964
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,169,1989
Public Identity,,Yellow Eyes,,Male Characters,Living Characters,165,1969
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,165,1991
Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,164,1961
Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,164,1964
Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,164,1968
Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Living Characters,163,1975
Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,163,1980
Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Deceased Characters,163,1987
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,161,1978
Secret Identity,Bad Characters,Green Eyes,Bald,Male Characters,Living Characters,160,1965
Public Identity,Neutral Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,160,1977
Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters,160,1986
Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,158,1970
Secret Identity,Good Characters,Blue Eyes,Silver Hair,Female Characters,Deceased Characters,158,1985
Secret Identity,Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,158,1990
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,157,1963
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,157,1966
Secret Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,156,1973
Secret Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,156,1985
Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Living Characters,155,1987
Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,Deceased Characters,153,1961
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,153,1979
Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters,152,1964
Secret Identity,Good Characters,White Eyes,Bald,Male Characters,Living Characters,152,1984
Public Identity,Good Characters,Yellow Eyes,Green Hair,Male Characters,Living Characters,151,1979
Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,150,1963
Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,150,1984
Secret Identity,Bad Characters,Grey Eyes,Black Hair,Female Characters,Living Characters,149,1968
Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,147,1966
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,147,1993
Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,Living Characters,147,2004
Secret Identity,Bad Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,146,1963
Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,146,1974
Public Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,Living Characters,146,1983
Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,145,1967
Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,145,2004
Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,144,1963
Public Identity,Bad Characters,Red Eyes,Bald,Male Characters,Deceased Characters,143,1966
Secret Identity,Good Characters,Silver Eyes,Red Hair,Female Characters,Living Characters,143,2003
Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,142,1983
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,141,1953
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Deceased Characters,140,1943
Public Identity,Bad Characters,White Eyes,Brown Hair,Male Characters,Living Characters,140,1967
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,139,1940
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,139,1947
Secret Identity,Good Characters,White Eyes,Blond Hair,Female Characters,Living Characters,138,1979
Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,137,1962
Public Identity,Good Characters,,Black Hair,Male Characters,Deceased Characters,137,1963
Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,137,1994
Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Living Characters,136,1963
Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,135,1939
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,134,1966
Secret Identity,Neutral Characters,,Bald,Male Characters,Living Characters,134,1977
Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,134,1978
Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,133,1963
Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,133,1974
Public Identity,Good Characters,,,Male Characters,Living Characters,132,1963
Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,131,1940
Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,131,1988
Public Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,130,1964
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,130,2003
Public Identity,Bad Characters,Green Eyes,Bald,Male Characters,Living Characters,129,1991
Secret Identity,Neutral Characters,Purple Eyes,Black Hair,Female Characters,Living Characters,127,1964
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,127,1976
Secret Identity,Good Characters,Black Eyes,Bald,Male Characters,Deceased Characters,127,1981
Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,127,1981
Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,126,1989
Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,125,1966
Public Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,Deceased Characters,125,1973
Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,125,1976
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,125,2002
